Source,Date,Description,Amount
barclaycard,Sep 06,SWIFT MART 2047 WIRT HOUSTON TX,$27.29
barclaycard,Sep 06,PIZZA ZONE SPRING TX,$34.02
barclaycard,Sep 06,GALIANA'S BAKERY & CAFE CYPRESS TX,$15.85
barclaycard,Sep 07,SQ * BLACK HOLE COFFEE HOUHouston TX,$17.99
barclaycard,Sep 07,RICE PARKING HOUSTON TX,$3.00
barclaycard,Sep 07,AL QUICK STOP HOUSTON TX,$12.30
barclaycard,Sep 07,AL QUICK STOP HOUSTON TX,$14.69
barclaycard,Sep 08,TST * SLOWPOKES -SPRING BHOUSTON TX,$1.60
barclaycard,Sep 08,TST * SLOWPOKES - SPRING BHOUSTON TX,$9.20
barclaycard,Oct 16,SPANISH VILLAGE RESTAURANHOUSTON TX,$37.93
barclaycard,Oct 16,SPANISH VILLAGE RESTAURANHOUSTON TX,$3.17
barclaycard,Oct 16,SHELL OIL 57545871006 GALVESTON TX,$9.28
barclaycard,Oct 17,WITT PIT BBQ ROSENBERG TX,$36.37
barclaycard,Oct 16,IN * SOUNDWAVES MONTROSE HOUSTON TX,$108.23
barclaycard,Oct 17,CONNER'S CORNER EDNA TX,$71.67
barclaycard,Oct 17,SE40825 CORPUS CHRISTTX,$90.12
barclaycard,Oct 16,GALVESTON RAILROAD MUSEUMGALVESTON TX,$15.10
barclaycard,Oct 18,LOVE S COUNTRY00002972 EDNA TX,$60.92
barclaycard,Oct 18,LOVE S COUNTRY00002972 EDNA TX,$12.44
barclaycard,Oct 18,ISLAND JOES COFFEE AND GACORPUS CHRISTTX,$26.21
barclaycard,Oct 21,MACSTADIUM 877-250-3497 GA,$34.00
barclaycard,Oct 26,TST * CANDENTE TEX MEX HOUSTON TX,$56.10
barclaycard,Oct 28,KATZ COFFEE 7138643338 TX,$70.00
barclaycard,Oct 30,EXXONMOBIL 48341648 HOUSTON TX,$44.39
barclaycard,Oct 31,KROGER # 346 HOUSTON TX,$82.02
barclaycard,Nov 01,SPANISH FLOWERS RESTAURANHOUSTON TX,$35.48
barclaycard,Nov 01,SPANISH FLOWERS RESTAURANHOUSTON TX,$10.15
barclaycard,Nov 01,JACK IN THE BOX 3600 HOUSTON TX,$4.95
barclaycard,Nov 03,TST * RUDY S COUNTRY STOREHOUSTON TX,$8.74
barclaycard,Nov 05,CHUY'S HOUSTON TX,$65.51
barclaycard,Nov 07,CVS / PHARMACY # 06726 HOUSTON TX,$120.22
barclaycard,Nov 10,EXXONMOBIL,$49.91
barclaycard,Nov 12,MCREE FORD,$228.27
barclaycard,Nov 17,MACSTADIUM 877-250-3497 GA,$34.00
barclaycard,Nov 17,EXXONMOBIL 48341648 HOUSTON TX,$48.79
barclaycard,Nov 20,SQ * BLACK HOLE COFFEE HOUHouston TX,$11.41
barclaycard,Nov 20,SQ * CANDIDO SERRANO HOUSTON TX,$9.00
barclaycard,Nov 22,SQ * 7TACO HOUSTON TX,$16.93
barclaycard,Nov 22,LA CASONA DINING BAY CITY TX,$51.06
barclaycard,Nov 24,SUNOCO 0864705900 HOUSTON TX,$8.25
barclaycard,Nov 26,TST * RUDY S COUNTRY STOREHOUSTON TX,$8.74
barclaycard,Nov 25,RUDY'S # 212 GAS HOUSTON TX,$48.99
barclaycard,Nov 26,EXXONMOBIL 48341648 HOUSTON TX,$23.26
barclaycard,Nov 27,BRICKS AND MINIFIGS PEARLPEARLAND TX,$100.68
barclaycard,Nov 28,TST * SLOWPOKES -SPRING BHOUSTON TX,$6.25
barclaycard,Nov 28,TARGET 00019083 KATY TX,$91.80
barclaycard,Nov 29,TARGET.COM * 800-591-3869 MN,$21.64
barclaycard,Nov 29,SWIFT MART 2047 WIRT HOUSTON TX,$27.81
barclaycard,Nov 30,SWIFT MART 2047 WIRT HOUSTON TX,$30.76
barclaycard,Dec 01,BANDCAMP HIDDEN DEPTH 415-213-2160 CA,$20.00
barclaycard,Dec 01,CHUY'S HOUSTON TX,$66.13
barclaycard,Dec 03,MCDONALD'S F25405 MONTGOMERY TX,$10.36
barclaycard,Dec 04,"APPLE.COM/US 800-676-2775 CA
** Special Promotional Offer **",$53.04
barclaycard,Dec 03,EXXONMOBIL 48341648 HOUSTON TX,$11.56
barclaycard,Dec 10,"CANYON OF THE EAGLES RES BURNET TX
12/10/20",$91.88
barclaycard,Dec 10,PEOPLES PHARMACY # 1 AUSTIN TX,$52.71
barclaycard,Dec 10,CIRCLE K # 2741559 BURNET TX,$65.40
barclaycard,Dec 12,TST * GOODE COMPANY KITCHEHOUSTON TX,$77.80
barclaycard,Dec 12,SQ * MOON VALLEY NUR HOUSTON TX,$243.56
barclaycard,Dec 12,"CANYON OF THE EAGLES RES BURNET
12/12/20
TX",$167.59
barclaycard,Dec 14,LATE PAYMENT FEE,$40.00
barclaycard,Dec 15,HOUSTON ZOO- ADMISSION HOUSTON TX,$208.10
barclaycard,Jan 29,BELLAIRE TIRE AND,$171.21
barclaycard,Jan 31,MCDONALD'S F20638,$5.72
barclaycard,Jan 31,SQ * KIM CHAU RESTAU,$12.92
barclaycard,Feb 01,SQ * TORNADO TACO,$16.71
barclaycard,Feb 01,SQ * ROSENBERG RAILR,$27.06
barclaycard,Feb 01,SQ * ROSENBERG RAILR,$20.00
barclaycard,Feb 01,WITT PIT BBQ,$35.08
barclaycard,Feb 01,U - HAUL MOVING &,$8.16
barclaycard,Feb 02,BARNABYS CAFE -,$51.98
barclaycard,Feb 02,LAZ PARKING 610317,$5.00
barclaycard,Feb 02,SSA HERMAN PARK,$16.23
barclaycard,Feb 01,WAN FU CAFE,$32.41
barclaycard,Feb 03,KA 1947 INC . HOUSTON TX,$39.14
barclaycard,Feb 03,THE HOME DEPOT # 6985 HOUSTON TX,$134.51
barclaycard,Feb 03,SHRI BALAJI BHAVAN HOUSTON TX,$30.46
barclaycard,Feb 04,"MEMORIAL TACO , LLC HOUSTON TX",$9.58
barclaycard,Feb 05,FIRST WATCH - 342 HOUSTON TX,$44.58
barclaycard,Feb 05,MCDONALD'S F20638 HOUSTON TX,$1.83
barclaycard,Feb 08,"CANYON OF THE EAGLES RES BURNET
02/08/20
TX",$25.25
barclaycard,Feb 08,"CANYON OF THE EAGLES RES BURNET
02/08/20
TX",$25.19
barclaycard,Feb 08,"CANYON OF THE EAGLES RES BURNET
02/08/20
TX",$30.00
barclaycard,Feb 09,EXOTIC RESORT ZOO JOHNSON CITY TX,$57.79
barclaycard,Feb 09,FRANKS PLACE FENTRESS TX,$42.76
barclaycard,Feb 09,"CANYON OF THE EAGLES RES BURNET TX
02/09/20",$165.63
barclaycard,Feb 09,BUC - EE'S # 17 LULING TX,$49.65
barclaycard,Sep 19,"CANYON OF THE EAGLES RES BURNET
09/19/20
TX",$91.88
barclaycard,Sep 20,"CANYON OF THE EAGLES RES BURNET
09/20/20
TX",$49.38
barclaycard,Oct 02,KFC C521024 HOUSTON TX,$7.00
barclaycard,Oct 02,STARBUCKS STORE 48923 HOUSTON TX,$10.66
barclaycard,Oct 02,BUC - EE'S 32 CYPRESS TX,$32.16
barclaycard,Oct 02,BUC - EE'S 32 CYPRESS TX,$1.05
barclaycard,Oct 02,BUC - EE'S 32 CYPRESS TX,$55.82
barclaycard,Oct 03,SQ * BURRO CHEESE KI AUSTIN TX,$12.98
barclaycard,Oct 03,BREHAM # 2 / DAIRY QUEEN BRENHAM TX,$3.34
barclaycard,Oct 02,AUTOZONE # 1444 HOUSTON TX,$34.62
barclaycard,Oct 03,MAUDIES ORIGINAL AUSTIN TX,$29.51
barclaycard,Oct 04,TST * WRIGHT BROS . BREW & AUSTIN TX,$4.00
barclaycard,Oct 03,TOY JOY HYDE PARK AUSTIN TX,$58.29
barclaycard,Oct 03,ANNA'S TOY DEPOT AUSTIN TX,$41.13
barclaycard,Oct 03,ANNA'S TOY DEPOT AUSTIN TX,$4.33
barclaycard,Oct 04,MCDONALD'S F7728 HOUSTON TX,$10.70
barclaycard,Oct 03,TACO MORE AUSTIN TX,$50.21
barclaycard,Oct 03,STARBUCKS STORE 20458 AUSTIN TX,$20.46
barclaycard,Oct 04,SQ * 7TACO Houston TX,$16.06
barclaycard,Oct 04,SQ * BLACK HOLE COFFEE HOUHouston TX,$13.62
barclaycard,Oct 06,TST * TACOS A GO GO - JESTHOUSTON TX,$8.08
barclaycard,Oct 06,SQ * NADIA'S GRILL SPRING TX,$47.29
barclaycard,Oct 06,COURTESY MART SPRING TX,$56.17
barclaycard,Oct 06,LA MADELEINE CARILLON HOUSTON TX,$12.97
barclaycard,Oct 07,CHEVRON 0376218 SPRING TX,$8.75
barclaycard,Oct 07,CHICK - FIL - A # 03915 JERSEY VILLAGTX,$8.26
barclaycard,Oct 07,SHELL OIL 12642090000 JERSEY VILLAGTX,$32.68
barclaycard,Oct 10,TST * SLOWPOKES -SPRING BHOUSTON TX,$9.00
barclaycard,Oct 10,SQ * 7TACO HOUSTON TX,$17.32
barclaycard,Oct 11,SQ * BLACK HOLE COFFEE HOUHouston TX,$10.12
barclaycard,Oct 14,SWIFT MART 2047 WIRT HOUSTON TX,$10.98
usaa,11/20 11/21,Amazon Tips*ZS1I440M3 Amzn.com/bill WA,$10.00
usaa,11/22 11/22,SQ *CENTRAL CITY CO-OP gosq.com  TX,$120.65
usaa,11/22 11/22,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,11/24 11/24,BONES 2 GO INC JERSEY VILLAG TX,$154.92
usaa,11/25 11/25,HEB ONLINE800-987-4438 TX,$164.13
usaa,11/28 11/28,APPLE.COM/BILL866-712-7753 CA,$16.23
usaa,11/29 11/29,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.65
usaa,12/01 12/01,HEB ONLINE800-987-4438 TX,$219.91
usaa,,,
usaa,12/04,UCSF CRH SAN FRANCISCO CA,$597.00
usaa,12/05,BONES 2 GO INC JERSEY VILLAG TX,$284.70
usaa,12/06,SQ *CENTRAL CITY CO-OP gosq.com  TX,$121.65
usaa,12/07,APPLE.COM/BILL800-275-2273 CA,$14.31
usaa,12/08,HEB ONLINE800-987-4438 TX,$188.98
usaa,12/08,APPLE.COM/US800-692-7753 CA,$96.08
usaa,12/08,APPLE.COM/US800-692-7753 CA,$54.07
usaa,12/08,Amazon.com*2M6I79BL3 Amzn.com/bill WA,$117.35
usaa,12/09,HEB ONLINE800-987-4438 TX,$77.93
usaa,12/10,AMAZON.COM*1U5P29883 AMZN AMZN.COM/BILL WA,$432.95
usaa,12/10,Amazon Tips*OB3IK0IY3 Amzn.com/bill WA,$7.00
usaa,12/11,"LAST WISHES, LLC HOUSTON  TX",$149.40
usaa,12/12,HEB ONLINE800-987-4438 TX,$137.30
usaa,12/13,SQ *CENTRAL CITY CO-OP gosq.com  TX,$100.65
usaa,12/13,AMZN Mktp US*VM41O7HK3 Amzn.com/bill WA,$32.46
usaa,12/17,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,12/19,HEB ONLINE800-987-4438 TX,$264.80
usaa,01/22 01/23,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,01/23 01/23,WAV*CG LANDSCAPE281-5086957  TX,$255.74
usaa,01/27 01/27,IKEA HOUSTON HOUSTON  TX,$299.79
usaa,01/28 01/28,AMZNGrocery*WD7842913 Amzn.com/bill WA,$158.45
usaa,01/28 01/28,BUCHANANS NATIVE PLANTS HOUSTON  TX,$120.10
usaa,01/29 01/29,IKEA HOUSTON HOUSTON  TX,$16.22
usaa,01/30 01/30,AMZNGrocery*HW74O77E3 Amzn.com/bill WA,$10.00
usaa,01/31 01/31,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,01/31 01/31,APPLE.COM/BILL866-712-7753 CA,$10.81
usaa,02/02,H MART - HOUSTON HOUSTON  TX,$111.30
usaa,02/02,WAV*CG LANDSCAPE281-5086957  TX,$255.74
usaa,02/03,LA FITNESS949-255-7200 CA,$54.10
usaa,02/03,XFINITY WIFI866-489-0919 PA,$54.95
usaa,02/04,BONES 2 GO INC JERSEY VILLAG TX,$199.18
usaa,02/04,AMZN Mktp US*1I0JM3CG3 Amzn.com/bill WA,$26.70
usaa,02/06,BONES 2 GO INC281-701-3872 TX,$160.21
usaa,02/06,ROVER.COM PET CARE888-453-7889 WA,$116.97
usaa,02/07,ROVER.COM PET CARE888-453-7889 WA,$38.99
usaa,02/07,REI #55 HOUSTON HOUSTON  TX,$482.13
usaa,02/10,PP*RUMMYSBEACH SPRING  TX,$20.00
usaa,02/10,WFM Amazon*580ZX1ZR3 Amzn.com/bill WA,$235.84
usaa,02/11,"LAST WISHES, LLC HOUSTON  TX",$410.30
usaa,02/12,AMZNGrcyTip*TG3MB3SH3 Amzn.com/bill WA,$10.00
usaa,02/18,BONES 2 GO INC281-701-3872 TX,$289.03
usaa,02/19,WASHINGTON HEIGHTS VET HOUSTON  TX,$157.46
usaa,12/23 12/23,TAQUERIA ARANDAS 4 HOUSTON  TX,$28.83
usaa,12/22 12/23,FIVE GUYS TX 1231 QSR PEARLAND  TX,$27.78
usaa,12/23 12/23,SQ *KIM CHAU RESTAU HOUSTON  TX,$38.29
usaa,12/23 12/23,APPLE.COM/BILL866-712-7753 CA,$9.99
usaa,12/23 12/23,MOMMASTRONG INC. SICILY@MOMMAS TX,$150.00
usaa,12/23 12/23,SWIFT FOOD MART HOUSTON  TX,$48.72
usaa,12/24 12/24,EL RANCHO # 34 HOUSTON  TX,$2.19
usaa,12/24,BEST BUY00002162 HOUSTON  TX,$114.73
usaa,12/24,H-E-B #109 HOUSTON  TX,$182.02
usaa,12/24,FIESTA MART #08 HOUSTON  TX,$11.52
usaa,12/24,LOWES #01058* HOUSTON  TX,$24.88
usaa,12/25,WAN FU CAFE HOUSTON  TX,$44.10
usaa,12/25,SUMMIT DONUTS HOUSTON  TX,$30.38
usaa,12/26,APPLE.COM/BILL866-712-7753 CA,$12.98
usaa,12/27,SWIFT FOOD MART HOUSTON  TX,$35.75
usaa,12/28,SOUND EXCHANGE HOUSTON  TX,$23.80
usaa,12/28,SQ *KIM CHAU RESTAU HOUSTON  TX,$30.91
usaa,12/28,AMZNGrocery*M180F1XD2 Amzn.com/bill WA,$262.01
usaa,12/30,REG HOUSTON MARQ  1052 HOUSTON  TX,$13.00
usaa,12/30,REG HOUSTON MARQ  1052 HOUSTON  TX,$10.44
usaa,12/30,KROGER #346 HOUSTON  TX,$39.24
usaa,12/30,SP * SOMA FM COM SOMAFM.MYSHOP CA,$53.26
usaa,12/30,AMZNGrocery*AO3M22JK3 Amzn.com/bill WA,$10.00
